ID,Name,Typ,Land,Am,MW
fcu26,Jerome Rousillon,1,NA,NA,F
fcu27,Sheraldo Becker,1,NA,NA,E
fcu28,Christopher Trimmel,1,NA,NA,A
fcu30,Kevin Moehwald,1,NA,NA,B
fcu31,Robin Knoche,1,NA,NA,E
fcu32,Milos Pantovic,1,NA,NA,A
fcu37,Lennart Grill,1,NA,NA,A
fcu40,Jamie Leweling,1,NA,NA,B
fcu45,Jordan Siebatcheu,1,NA,NA,D
fcu18,Josip Juranovic,1,NA,NA,D
fcu20,Aissa Laidouni,1,NA,NA,B
rbl1,Peter Gulacsi,1,NA,NA,E
rbl2,Mohamed Simakan,1,NA,NA,H
rbl4,Willi Orban,1,NA,NA,F
rbl7,Dani Olmo,1,NA,NA,J
rbl8,Amadou Haidara,1,NA,NA,G
rbl9,Yussuf Poulsen,1,NA,NA,I
rbl10,Emil Forsberg,1,NA,NA,H
rbl11,Timo Werner,1,NA,NA,L
rbl13,Orjan Nyland,1,NA,NA,B
rbl16,Lukas Klostermann,1,NA,NA,I
rbl17,Dominik Szoboszlai,1,NA,NA,I
rbl18,Christopher Nkunku,1,NA,NA,L
rbl19,Andre Silva,1,NA,NA,J
rbl21,Janis Blaswich,1,NA,NA,A
rbl22,David Raum,1,NA,NA,H
rbl23,Marcel Halstenberg,1,NA,NA,G
rbl24,Xaver Schlager,1,NA,NA,H
rbl25,Sanoussy Ba,1,NA,NA,A
rbl27,Konrad Laimer,1,NA,NA,H
rbl32,Josko Gvardiol,1,NA,NA,L
rbl37,Abdou Diallo,1,NA,NA,I
rbl39,Benjamin Henrichs,1,NA,NA,F
rbl44,Kevin Kampl,1,NA,NA,G
bvb1,Gregor Kobel,1,NA,NA,G
bvb2,Mateu Morey,1,NA,NA,C
bvb4,Nico Schlotterbeck,1,NA,NA,I
bvb6,Salih Oezcan,1,NA,NA,F
bvb7,Giovanni Reyna,1,NA,NA,J
bvb8,Mahmoud Dahoud,1,NA,NA,F
bvb9,Sebastien Haller,1,NA,NA,J
bvb11,Marco Reus,1,NA,NA,J
bvb13,Raphael Guerreiro,1,NA,NA,I
bvb14,Nico Schulz,1,NA,NA,G
bvb15,Mats Hummels,1,NA,NA,K
bvb17,Marius Wolf,1,NA,NA,D
bvb18,Youssoufa Moukoko,1,NA,NA,H
bvb19,Julian Brandt,1,NA,NA,J
bvb20,Anthony Modeste,1,NA,NA,F
bvb21,Donyell Malen,1,NA,NA,H
bvb22,Jude Bellingham,1,NA,NA,L
bvb23,Emre Can,1,NA,NA,I
bvb24,Thomas Meunier,1,NA,NA,I
bvb25,Niklas Suele,1,NA,NA,K
bvb26,Julian Ryerson,1,NA,NA,C
bvb27,Karim Adeyemi,1,NA,NA,I
bvb30,Felix Passlack,1,NA,NA,B
bvb33,Alexander Meyer,1,NA,NA,A
